"Name"	"Score"	"freq_up"
"ARHGEF38-IT1"	"ARHGEF38-IT1"	0.0949762605982055	2
"TNFSF4"	"TNFSF4"	0.0954041759071593	1
"WFDC8"	"WFDC8"	0.0971361627108048	3
"AC011294.3"	"AC011294.3"	0.0971987069599003	2
"RP11-471B22.3"	"RP11-471B22.3"	0.0977114450779371	3
"RIMKLB"	"RIMKLB"	0.0982888425502279	3
"CDK2AP2P2"	"CDK2AP2P2"	0.0988683577409898	3
"ZNF365"	"ZNF365"	0.100033751693899	3
"ANKRD65"	"ANKRD65"	0.100575615239971	2
"PPP1R14D"	"PPP1R14D"	0.100619635645392	3
"RP11-285F16.1"	"RP11-285F16.1"	0.100619635645392	3
"NR5A2"	"NR5A2"	0.101703179786275	1
"CTA-242H14.1"	"CTA-242H14.1"	0.102390066379524	3
"AC004540.5"	"AC004540.5"	0.107205376561129	3
"RAB6C-AS1"	"RAB6C-AS1"	0.107994559292151	1
"SHC2"	"SHC2"	0.108430714069227	3
"RP11-713M15.2"	"RP11-713M15.2"	0.110907340914407	3
"CLIC5"	"CLIC5"	0.111531918663823	3
"SLC2A5"	"SLC2A5"	0.112787596579468	3
"PSORS1C2"	"PSORS1C2"	0.112787596579468	3
"PDZD3"	"PDZD3"	0.113418701621892	3
"RP11-517I3.2"	"RP11-517I3.2"	0.114687456010516	3
"MACC1"	"MACC1"	0.115325110188175	3
"FILIP1L"	"FILIP1L"	0.115964952229945	3
"AP006285.2"	"AP006285.2"	0.116606984532917	3
"RP11-426C22.8"	"RP11-426C22.8"	0.119197064037659	3
"KRT6A"	"KRT6A"	0.119850083342029	3
"CA9"	"CA9"	0.120554469801272	1
"CAMP"	"CAMP"	0.121822377550279	3
"CD200"	"CD200"	0.122484228842882	3
"SNTB1"	"SNTB1"	0.123814575209237	3
"RP5-919F19.5"	"RP5-919F19.5"	0.124393032088465	2
"AC097523.1"	"AC097523.1"	0.125826738825916	3
"NXF3"	"NXF3"	0.126501907627665	3
"RP13-580F15.2"	"RP13-580F15.2"	0.126501907627665	3
"TAGLN3"	"TAGLN3"	0.126823013106844	1
"NCMAP"	"NCMAP"	0.13198364143342	3
"ATP10B"	"ATP10B"	0.132678939746755	3
"TNFRSF9"	"TNFRSF9"	0.132678939746755	3
"ACRBP"	"ACRBP"	0.132678939746755	3
"ITPR1-AS1"	"ITPR1-AS1"	0.133083956643834	1
"RNF183"	"RNF183"	0.134076281872461	3
"C11orf96"	"C11orf96"	0.136898009549642	3
"RP11-277P12.9"	"RP11-277P12.9"	0.13843845006756	2
"ICAM1"	"ICAM1"	0.139337306557194	1
"AC005071.4"	"AC005071.4"	0.140476054722098	3
"DPYSL3"	"DPYSL3"	0.141923158973594	3
"RP11-657O9.1"	"RP11-657O9.1"	0.145583068989388	2
"RP11-707O23.1"	"RP11-707O23.1"	0.146319158664838	3
"SLC12A7"	"SLC12A7"	0.147059822398406	3
"RP11-96B2.1"	"RP11-96B2.1"	0.149064072616244	2
"RP11-295P9.12"	"RP11-295P9.12"	0.150797538236815	3
"AC141930.2"	"AC141930.2"	0.151773765217502	2
"IFI44"	"IFI44"	0.151821250080397	2
