"Name"	"Score"	"freq_up"
"RP11-490M8.1"	"RP11-490M8.1"	0.0460229263964317	3
"RP11-96O20.5"	"RP11-96O20.5"	0.0462569408293754	3
"HOTTIP"	"HOTTIP"	0.0463307936384528	2
"ARHGEF38-IT1"	"ARHGEF38-IT1"	0.0470505788334064	2
"TARID"	"TARID"	0.0470505788334064	1
"RP11-15E18.1"	"RP11-15E18.1"	0.0470505788334064	2
"RP4-753F5.1"	"RP4-753F5.1"	0.0473678950967735	2
"RP5-937E21.8"	"RP5-937E21.8"	0.048415829357219	3
"CMAHP"	"CMAHP"	0.04867950303945	2
"MIR5689HG"	"MIR5689HG"	0.0487621606773229	3
"AC104809.4"	"AC104809.4"	0.0489222982502193	2
"DKK4"	"DKK4"	0.0489222982502193	1
"RP11-214N9.1"	"RP11-214N9.1"	0.0489222982502193	2
"RP11-638I2.4"	"RP11-638I2.4"	0.0489438520996722	2
"NIPSNAP3B"	"NIPSNAP3B"	0.0491272668590209	3
"SLC25A34"	"SLC25A34"	0.0492088762034572	2
"RP13-714J12.1"	"RP13-714J12.1"	0.0500079954319066	2
"MIR200C"	"MIR200C"	0.0507932265768424	1
"RP11-304F15.6"	"RP11-304F15.6"	0.0513533304706035	2
"DRD4"	"DRD4"	0.051607984788272	3
"RHBDL2"	"RHBDL2"	0.0521685985737442	2
"CCL28"	"CCL28"	0.0526633639804899	1
"CLIC2"	"CLIC2"	0.0532650155765225	3
"GPR55"	"GPR55"	0.0538172435718836	2
"RIC3"	"RIC3"	0.0545327106283759	1
"TMPRSS2"	"TMPRSS2"	0.0549559107993565	3
"RPSAP18"	"RPSAP18"	0.0552095156252205	2
"TDRD5"	"TDRD5"	0.0554899734287357	2
"RP11-10C24.2"	"RP11-10C24.2"	0.0556159027189981	3
"SLC35F1"	"SLC35F1"	0.0564012666877148	1
"FAM83C-AS1"	"FAM83C-AS1"	0.0582690323257205	2
"MIR221"	"MIR221"	0.0583087100720436	3
"AC092574.1"	"AC092574.1"	0.0589073987725107	2
"AC093159.1"	"AC093159.1"	0.0591965017152989	2
"RP11-274B21.9"	"RP11-274B21.9"	0.0594862673278022	3
"MARCH10"	"MARCH10"	0.0597766952755922	2
"PRODH"	"PRODH"	0.0601360077096072	1
"TGM5"	"TGM5"	0.0620021930065892	1
"RP1-283K11.2"	"RP1-283K11.2"	0.0620021930065892	1
"RP3-333H23.8"	"RP3-333H23.8"	0.0620021930065892	2
"RP11-713M15.2"	"RP11-713M15.2"	0.0623655895907179	3
"LINC01219"	"LINC01219"	0.0627173296200328	2
"KLRK1"	"KLRK1"	0.0636123789430706	3
"NCF4"	"NCF4"	0.0638675883838805	1
"RP11-401P9.5"	"RP11-401P9.5"	0.0638675883838805	2
"NPPC"	"NPPC"	0.0642123673155943	2
"OXGR1"	"OXGR1"	0.0645133471457208	2
"C2CD4D"	"C2CD4D"	0.0651172764215614	2
"RNY3P16"	"RNY3P16"	0.0652703626290794	3
"FGF3"	"FGF3"	0.0657238296219966	2
"S1PR4"	"S1PR4"	0.0657321940086953	2
"CTD-2619J13.8"	"CTD-2619J13.8"	0.0663330040716001	3
"TCERG1L-AS1"	"TCERG1L-AS1"	0.0663330040716001	2
"RP11-77P16.4"	"RP11-77P16.4"	0.066638573428769	3
"SOCS5P2"	"SOCS5P2"	0.0672060133700154	3
"RP11-999E24.3"	"RP11-999E24.3"	0.067559206016605	2
"RP11-45P15.4"	"RP11-45P15.4"	0.067559206016605	2
"SMOC1"	"SMOC1"	0.0675960100482479	1
"RP11-338N10.1"	"RP11-338N10.1"	0.0678673906032324	3
"RP11-456D7.1"	"RP11-456D7.1"	0.0682639598290969	3
"IGFL3"	"IGFL3"	0.0684857183559403	2
"RP11-367J11.3"	"RP11-367J11.3"	0.0691066553183967	2
"DBH-AS1"	"DBH-AS1"	0.0694590366697523	2
"RP11-190C22.8"	"RP11-190C22.8"	0.0694590366697523	1
"C10orf111"	"C10orf111"	0.0709850947099922	3
"CTB-40H15.4"	"CTB-40H15.4"	0.0713212740404227	2
"IGBP1P1"	"IGBP1P1"	0.0716164417571777	2
"PRAM1"	"PRAM1"	0.0732061602903401	3
"RP11-113C12.4"	"RP11-113C12.4"	0.0741677615178126	2
"ARHGEF38"	"ARHGEF38"	0.0750433816981182	2
"AC069294.1"	"AC069294.1"	0.0750433816981182	1
"RBMS3"	"RBMS3"	0.075458942885294	2
"AC007405.4"	"AC007405.4"	0.0761453372797716	3
"FBXO43"	"FBXO43"	0.0764726090561745	3
"LONRF2"	"LONRF2"	0.0769032523195716	1
"RP11-21L23.3"	"RP11-21L23.3"	0.0769032523195716	2
"RP11-1299A16.3"	"RP11-1299A16.3"	0.0774150565983738	2
"RP11-91P24.5"	"RP11-91P24.5"	0.0774600481320034	3
"RP11-277P12.20"	"RP11-277P12.20"	0.0777433277859404	3
"IL36G"	"IL36G"	0.0787623343590476	2
"GUCY1B2"	"GUCY1B2"	0.0797264378906825	2
"CTD-2526A2.2"	"CTD-2526A2.2"	0.0803926029390665	2
"RP11-734C14.2"	"RP11-734C14.2"	0.0806206279837605	1
"SLC30A10"	"SLC30A10"	0.0806206279837605	1
"PAN3-AS1"	"PAN3-AS1"	0.0806206279837605	2
"MT-TK"	"MT-TK"	0.0807266455233566	3
"RP11-474G23.3"	"RP11-474G23.3"	0.0807266455233566	2
"AC010884.1"	"AC010884.1"	0.0813966491399917	3
"RP11-350N15.3"	"RP11-350N15.3"	0.0817326095034799	2
"CTD-2562G15.3"	"CTD-2562G15.3"	0.0824781333609243	2
"MT-TG"	"MT-TG"	0.0834219834954956	3
"AC118754.4"	"AC118754.4"	0.0843348506577533	1
"RP11-713M15.1"	"RP11-713M15.1"	0.0858138483071723	2
"RP11-440G9.1"	"RP11-440G9.1"	0.0858441649589286	3
"RP11-572O17.1"	"RP11-572O17.1"	0.0861907800414615	2
"MIR499A"	"MIR499A"	0.0863762553809006	3
"RP1-249I4.2"	"RP1-249I4.2"	0.0865029544694164	2
"EWSAT1"	"EWSAT1"	0.0874470232922397	3
"ZNF709"	"ZNF709"	0.0875413671933088	3
"TRPM2-AS"	"TRPM2-AS"	0.0876263404407349	3
"AC004947.2"	"AC004947.2"	0.0878887710250332	2
"TBX2"	"TBX2"	0.0878887710250332	2
"TGFBI"	"TGFBI"	0.0880459216792632	1
"TAGLN3"	"TAGLN3"	0.0880459216792632	1
"RP11-28H5.2"	"RP11-28H5.2"	0.0880459216792632	1
"RP11-285A1.1"	"RP11-285A1.1"	0.0881657623675409	3
"RP11-23P13.6"	"RP11-23P13.6"	0.0885854760675528	2
"RP11-734K2.4"	"RP11-734K2.4"	0.0896352720625839	2
"KIAA0226L"	"KIAA0226L"	0.0899002757383725	2
"RP11-46A10.5"	"RP11-46A10.5"	0.0905288442714725	3
"WEE2-AS1"	"WEE2-AS1"	0.0913975455757523	3
"RP11-484K9.4"	"RP11-484K9.4"	0.0917538423860035	1
"IL12B"	"IL12B"	0.0925610494289314	3
"MIR23B"	"MIR23B"	0.0928186924767531	2
"TPSG1"	"TPSG1"	0.0928186924767531	2
"RP11-156K13.1"	"RP11-156K13.1"	0.0935330345999858	2
"KRTAP5-1"	"KRTAP5-1"	0.0936066217893705	2
"COLGALT2"	"COLGALT2"	0.0936066217893705	1
"RP11-398C13.6"	"RP11-398C13.6"	0.0936066217893705	1
"STX1B"	"STX1B"	0.0949692428147831	2
"ZNF763"	"ZNF763"	0.0953298604110529	3
"RP11-933H2.4"	"RP11-933H2.4"	0.0956911035554944	3
"CTD-2129N1.1"	"CTD-2129N1.1"	0.0967785829335654	2
"RP11-1109F11.3"	"RP11-1109F11.3"	0.0971423249264101	2
"AP001412.1"	"AP001412.1"	0.0976776319078281	3
"RP11-696F12.1"	"RP11-696F12.1"	0.0986035283138058	2
"CAPS"	"CAPS"	0.100814002855835	2
"TMEM74"	"TMEM74"	0.101009870304481	1
"RP5-905G11.3"	"RP5-905G11.3"	0.101009870304481	1
"RP11-408O19.5"	"RP11-408O19.5"	0.10285871599474	1
"RP11-312B8.1"	"RP11-312B8.1"	0.10285871599474	2
"CLDN11"	"CLDN11"	0.103046816540749	2
"AP000255.6"	"AP000255.6"	0.103421118943852	2
"RP11-358N2.2"	"RP11-358N2.2"	0.103981767147572	3
"RP11-806O11.1"	"RP11-806O11.1"	0.10470677544402	1
"HHIP-AS1"	"HHIP-AS1"	0.104924507119468	2
"CTB-161M19.4"	"CTB-161M19.4"	0.106554048819535	1
"MANEA-AS1"	"MANEA-AS1"	0.106823013687291	3
"RP5-1068E13.7"	"RP5-1068E13.7"	0.10702791711044	3
"LINC01481"	"LINC01481"	0.107438509696073	3
"RP11-462B18.2"	"RP11-462B18.2"	0.107579172393165	2
"NTF3"	"NTF3"	0.107579172393165	2
"RP11-163E9.2"	"RP11-163E9.2"	0.107579172393165	2
"CTC-281M20.1"	"CTC-281M20.1"	0.107960871012982	2
"VN1R51P"	"VN1R51P"	0.11097102567549	3
"AC132008.1"	"AC132008.1"	0.111811581798961	2
"AC006262.4"	"AC006262.4"	0.112091154175631	1
"AC009120.11"	"AC009120.11"	0.112978721501091	2
"RP11-341N2.1"	"RP11-341N2.1"	0.112978721501091	2
"TM4SF19"	"TM4SF19"	0.113759864343428	2
"ERMN"	"ERMN"	0.113935284928228	1
"U47924.32"	"U47924.32"	0.113937632670769	3
"ADAM23"	"ADAM23"	0.114543443830501	3
"GNG2"	"GNG2"	0.114936146479743	2
"PLGLB1"	"PLGLB1"	0.115329457286883	2
"RP11-710F7.3"	"RP11-710F7.3"	0.115723375917495	3
"RP1-153G14.4"	"RP1-153G14.4"	0.116117902037148	3
