"Name" "Score" "freq_up"
"ANXA8" "ANXA8" 0.851945349073157 1
"ADAMTS15" "ADAMTS15" 0.856645978636918 2
"DNMBP-AS1" "DNMBP-AS1" 0.856754803112937 3
"RP11-875O11.3" "RP11-875O11.3" 0.870066966463574 1
"LURAP1L" "LURAP1L" 0.882121829817662 3
"GDF15" "GDF15" 0.887235495802234 3
"UCN2" "UCN2" 0.888135394529664 1
"PBXIP1" "PBXIP1" 0.90265640246495 4
"LINC00460" "LINC00460" 0.906150758238929 1
"GAS6-AS2" "GAS6-AS2" 0.906150758238929 1
"PXDN" "PXDN" 0.918196446922124 3
"VWA2" "VWA2" 0.92411318233853 2
"MMP28" "MMP28" 0.9299179441391 2
"EPAS1" "EPAS1" 0.9299179441391 2
"DPYSL3" "DPYSL3" 0.937336527768109 2
"APOL1" "APOL1" 0.942022791355554 1
"DRC7" "DRC7" 0.944771136139751 3
"CUBN" "CUBN" 0.944771136139751 2
"FABP6" "FABP6" 0.959879709597271 2
"DKK1" "DKK1" 0.977684061151387 1
"LGALS2" "LGALS2" 0.98970715448065 2
"LRIG1" "LRIG1" 0.995435969886312 2
"INPP5D" "INPP5D" 1 2
"TACSTD2" "TACSTD2" 1 1
"PTGES" "PTGES" 1 1
"TUBAL3" "TUBAL3" 1 2
"PBX1" "PBX1" 1 2
"MEMO1P1" "MEMO1P1" 1 1
"BDKRB2" "BDKRB2" 1 1
"SPNS3" "SPNS3" 1 1
"LSP1" "LSP1" 1 2
"AOC1" "AOC1" 1 1
"SLCO3A1" "SLCO3A1" 1 2
"IKBKGP1" "IKBKGP1" 1 1
"ADGRD1" "ADGRD1" 1 1
"SH2D2A" "SH2D2A" 1 1
"ABALON" "ABALON" 1 1
"AC133785.1" "AC133785.1" 1 1
"DNER" "DNER" 1 2
"BTBD16" "BTBD16" 1 1
"C9orf152" "C9orf152" 1 1
"SLPI" "SLPI" 1 1
"RP11-276H19.2" "RP11-276H19.2" 1 2
"CARD8-AS1" "CARD8-AS1" 1 2
"GXYLT2" "GXYLT2" 1 3
"COL17A1" "COL17A1" 1 1
"ALOX5" "ALOX5" 1 1
"RP11-416I2.1" "RP11-416I2.1" 1 1
"C11orf86" "C11orf86" 1 1
"FGFBP1" "FGFBP1" 1 1
"ALG1L8P" "ALG1L8P" 1 2
"FUT3" "FUT3" 1 1
"F3" "F3" 1 1
"FOXL1" "FOXL1" 1 2
"CKAP4" "CKAP4" 1 3
"PADI2" "PADI2" 1 2
"MYL2" "MYL2" 1 1
"ITGB7" "ITGB7" 1 1
"CYP26A1" "CYP26A1" 1 1
"ARL2BP" "ARL2BP" 1 3
"CLU" "CLU" 1 2
"FAT2" "FAT2" 1 1
"C3" "C3" 1 1
"PTGFRN" "PTGFRN" 1 2
"XYLT1" "XYLT1" 1 1
"SIX2" "SIX2" 1 1
"EFNB1" "EFNB1" 1 1
"AC108676.1" "AC108676.1" 1 1
"IL1RN" "IL1RN" 1 1
"NCALD" "NCALD" 1 1
"CAPN13" "CAPN13" 1 1
"LINC01547" "LINC01547" 1 1
"LYNX1" "LYNX1" 1 1
"LINC01503" "LINC01503" 1 2
"HHLA3" "HHLA3" 1 1
"GPR39" "GPR39" 1 2
"HS3ST1" "HS3ST1" 1 2
"DHRS3" "DHRS3" 1 2
"JADE2" "JADE2" 1 2
"ITGB2" "ITGB2" 1 2
"DMRT1" "DMRT1" 1 2
"UBE2L6" "UBE2L6" 1 2
"SPP1" "SPP1" 1 1
"DUSP4" "DUSP4" 1 2
"ARSG" "ARSG" 1 2
"RP3-428L16.2" "RP3-428L16.2" 1 2
"F10" "F10" 1 1
"RP11-47A8.5" "RP11-47A8.5" 1 2
"IFITM1" "IFITM1" 1 2
"AC006538.1" "AC006538.1" 1 1
"AC004221.2" "AC004221.2" 1 2
"FZD1" "FZD1" 1 2
"RP11-488P3.1" "RP11-488P3.1" 1 1
"PSCA" "PSCA" 1 1
"DUSP10" "DUSP10" 1 1
"HLA-DRB1" "HLA-DRB1" 1 2
"NRP2" "NRP2" 1 1
"ID3" "ID3" 1 2
"CDH22" "CDH22" 1 1
"DENND2A" "DENND2A" 1 1
"TLL2" "TLL2" 1 1
"TMEM169" "TMEM169" 1 2
"RP11-587D21.1" "RP11-587D21.1" 1 1
"LIX1L" "LIX1L" 1 4
"TPRXL" "TPRXL" 1 1
"SSTR5" "SSTR5" 1 2
"TMPRSS13" "TMPRSS13" 1 1
"VASN" "VASN" 1 1
"PSAP" "PSAP" 1 1
"SPRY2" "SPRY2" 1 2
"CRISPLD2" "CRISPLD2" 1 2
"SORL1" "SORL1" 1 3
"PARD6A" "PARD6A" 1 2
"RP11-219A15.5" "RP11-219A15.5" 1 1
"FGFBP2" "FGFBP2" 1 1
"ID1" "ID1" 1 1
"PSMB8" "PSMB8" 1 2
"GNE" "GNE" 1 1
"HLA-DOA" "HLA-DOA" 1 1
"SWSAP1" "SWSAP1" 1 2
"KCNB1" "KCNB1" 1 2
"EXT1" "EXT1" 1 1
"IFI6" "IFI6" 1 3
"CAMK2N2" "CAMK2N2" 1 3
"PDIA4" "PDIA4" 1 1
"RASSF5" "RASSF5" 1 1
"MTHFD2P7" "MTHFD2P7" 1 2
"ATP6V0C" "ATP6V0C" 1 2
"FTH1" "FTH1" 1 2
"PLEKHA2" "PLEKHA2" 1 2
"ISM1" "ISM1" 1 2
"ZNF358" "ZNF358" 1 3
"JDP2" "JDP2" 1 1
"LOXL4" "LOXL4" 1 1
"GUCY2D" "GUCY2D" 1 1
"RAB3A" "RAB3A" 1 2
"MAP1A" "MAP1A" 1 4
"CKM" "CKM" 1 2
"RIMBP3" "RIMBP3" 1 3
"ADM" "ADM" 1 2
"RP13-463N16.6" "RP13-463N16.6" 1 1
"AC241585.2" "AC241585.2" 1 3
"RP11-428J1.5" "RP11-428J1.5" 1 3
"POM121B" "POM121B" 1 1
"PSMB9" "PSMB9" 1 3
"LAGE3" "LAGE3" 1 1
"MYCL" "MYCL" 1 3
"FOXJ1" "FOXJ1" 1 2
"GRAMD1B" "GRAMD1B" 1 1
"TRABD2B" "TRABD2B" 1 1
"WNT7A" "WNT7A" 1 2
"HMOX1" "HMOX1" 1 3
"CTH" "CTH" 1 1
"MAST4" "MAST4" 1 1
"UNC5B" "UNC5B" 1 1
"ABC7-42404400C24.1" "ABC7-42404400C24.1" 1 2
"MFSD2B" "MFSD2B" 1 2
"TAPBP" "TAPBP" 1 2
"ALDH5A1" "ALDH5A1" 1 1
"MOB3A" "MOB3A" 1 2
"SUSD2" "SUSD2" 1 1
"RP11-54C4.3" "RP11-54C4.3" 1 2
"CXCL16" "CXCL16" 1 1
"ZBTB42" "ZBTB42" 1 3
"CHST14" "CHST14" 1 2
"MT-ND6" "MT-ND6" 1 3
"UPK3B" "UPK3B" 1 1
"BCL2L11" "BCL2L11" 1 4
"MYLIP" "MYLIP" 1 2
"LINC00863" "LINC00863" 1 1
"CAMK1D" "CAMK1D" 1 2
"C1orf106" "C1orf106" 1 1
"CBR3" "CBR3" 1 2
"GPR179" "GPR179" 1 2
"RAB43P1" "RAB43P1" 1 2
"FOSL2" "FOSL2" 1 1
"RP13-580F15.2" "RP13-580F15.2" 1 3
"AVEN" "AVEN" 1 2
"ZMYND12" "ZMYND12" 1 2
"SHF" "SHF" 1 2
"POMK" "POMK" 1 1
