"","x"
"611","LRRC16B"
"612","VMAC"
"613","LRRC36"
"614","NPAS2"
"615","NPIPA1"
"616","ELL2"
"617","RP11-286H14.8"
"618","MT-TE"
"619","BABAM1"
"620","PCED1A"
"621","TMEM198B"
"622","LINC00982"
"623","ERMAP"
"624","EFCAB2"
"625","GPR137C"
"626","RTTN"
"627","ZFP36"
"628","TBC1D13"
"629","NAPSA"
"630","SARDH"
"631","RAB38"
"632","AC010524.4"
"633","GALNT18"
"634","CD55"
"635","HSF4"
"636","MDM1"
"637","FAM81A"
"638","RASA3"
"639","MYL6B"
"640","SLC16A8"
"641","RWDD3"
"642","NTNG2"
"643","CARD8"
"644","MCF2"
"645","AVIL"
"646","CEL"
"647","ALDH8A1"
"648","RP11-283G6.4"
"649","AC114765.1"
"650","AC006159.5"
"651","SUPT4H1"
"652","RP11-250B2.5"
"653","CHKB"
"654","DEK"
"655","RP11-164J13.1"
"656","BPHL"
"657","IL3RA"
"658","PABPC1L"
"659","DIP2A"
"660","GGA3"
"661","USP37"
"662","ATHL1"
"663","LINC00950"
"664","CROCC"
"665","IL17RD"
"666","RP5-902P8.10"
"667","XRCC1"
"668","CLDN11"
"669","C5orf42"
"670","MTRF1L"
"671","SRGAP2C"
"672","PSME4"
"673","C11orf74"
"674","AADAT"
"675","NKD1"
"676","SEMA6A"
"677","RITA1"
"678","MSX1"
"679","GOLGA6L5P"
"680","LMNTD2"
"681","ZNF700"
"682","SLC25A23"
"683","FAM227A"
"684","MYO15A"
"685","IFT88"
"686","MRPS18A"
"687","KIAA0753"
"688","ZNF804A"
"689","IL11RA"
"690","ADAMTS13"
"691","RP4-730K3.3"
"692","PTOV1"
"693","ZNF680"
"694","DDIT4"
"695","EGR3"
"696","BANP"
"697","ZNF267"
"698","RP11-632C17__A.1"
"699","BTN2A2"
"700","IKBKB"
"701","SSC5D"
"702","GLUD1P7"
"703","JOSD1"
"704","PODNL1"
"705","DNMT3A"
"706","UBXN4"
"707","RP11-68I18.10"
"708","C2orf81"
"709","TRIM35"
"710","ZFHX4"
"711","TECTA"
"712","CTD-2547L24.4"
"713","PITPNM2"
"714","CPNE1"
"715","HMGN3"
"716","BCL9L"
"717","PTPRB"
"718","NCDN"
"719","TNRC6C"
"720","SOX2"
"721","SP140L"
"722","FRMD4A"
"723","THBS3"
