"Name"	"Score"	"freq_up"
"AC073283.4"	"AC073283.4"	0.0115906482505711	3
"TMEM88"	"TMEM88"	0.0119047907989136	5
"RP11-517I3.2"	"RP11-517I3.2"	0.0122032494315794	5
"CABP1"	"CABP1"	0.0122234299921457	4
"SIGLEC15"	"SIGLEC15"	0.0122234299921457	5
"MIR429"	"MIR429"	0.0123351857281527	5
"TFAP2A-AS1"	"TFAP2A-AS1"	0.0123351857281527	5
"PLAC8"	"PLAC8"	0.0123849947257224	3
"GRIK2"	"GRIK2"	0.0123854532519538	5
"AP006285.2"	"AP006285.2"	0.012477283465818	4
"CTD-2129N1.1"	"CTD-2129N1.1"	0.0125696012329112	4
"RNA5SP283"	"RNA5SP283"	0.0126624080673699	4
"LINC00592"	"LINC00592"	0.0128778493864571	4
"TNC"	"TNC"	0.0130448697767983	3
"LA16c-312E8.4"	"LA16c-312E8.4"	0.0131662067881392	5
"AC006946.17"	"AC006946.17"	0.0134970545528079	5
"SNTB1"	"SNTB1"	0.0135199278491036	5
"LL21NC02-21A1.1"	"LL21NC02-21A1.1"	0.0136986118662914	5
"CTB-161M19.4"	"CTB-161M19.4"	0.0141051418070195	2
"SPTSSB"	"SPTSSB"	0.014528106730174	5
"TESC"	"TESC"	0.0145958684400802	3
"MTCO2P12"	"MTCO2P12"	0.014727016266228	5
"ACRBP"	"ACRBP"	0.014830967276098	4
"WEE2-AS1"	"WEE2-AS1"	0.014884906831983	6
"RP11-710F7.3"	"RP11-710F7.3"	0.0149570680282884	6
"RP11-667F9.1"	"RP11-667F9.1"	0.0149738684125906	4
"RP11-159D12.11"	"RP11-159D12.11"	0.0150294978731804	5
"RNF183"	"RNF183"	0.0150404431554635	5
"RARB"	"RARB"	0.0152484061341012	5
"S1PR4"	"S1PR4"	0.0152520277330221	4
"RP11-190A12.8"	"RP11-190A12.8"	0.0153219174121965	5
"AC009238.8"	"AC009238.8"	0.0155296319842756	4
"TRANK1"	"TRANK1"	0.0156815720801582	4
"SNRPCP3"	"SNRPCP3"	0.0164847261200654	3
"RP1-193H18.2"	"RP1-193H18.2"	0.0171059438240417	2
"RP11-351J23.1"	"RP11-351J23.1"	0.0174763191608038	4
"CTC-203F4.2"	"CTC-203F4.2"	0.0177391527066302	5
"RP11-54O7.3"	"RP11-54O7.3"	0.0179045721454094	5
"RP11-432I5.2"	"RP11-432I5.2"	0.0180797726762387	5
"RP11-697K23.3"	"RP11-697K23.3"	0.018504948679801	4
"PSORS1C2"	"PSORS1C2"	0.0186872085543773	4
"LINC00479"	"LINC00479"	0.0187151657182178	3
"LRMP"	"LRMP"	0.0188104191646268	4
"RNU4ATAC18P"	"RNU4ATAC18P"	0.0190585762292096	5
"CYP4F23P"	"CYP4F23P"	0.0190585762292096	5
"KIAA0226L"	"KIAA0226L"	0.0191835257879587	5
"NKX3-2"	"NKX3-2"	0.0193548748316858	3
"NTF3"	"NTF3"	0.0195357561107272	5
"CTD-2517O10.6"	"CTD-2517O10.6"	0.0196891671046832	6
"RN7SL180P"	"RN7SL180P"	0.0200082585132863	4
"KRT17"	"KRT17"	0.0203344822610549	4
"TEKT3"	"TEKT3"	0.0207157771020985	5
"TBX2"	"TBX2"	0.0209020545556838	5
"USP6"	"USP6"	0.0215641412729915	5
"SMOC2"	"SMOC2"	0.0215866252291899	3
"GRM2"	"GRM2"	0.0216700635320694	4
"WFDC2"	"WFDC2"	0.0216700635320694	6
"CDH11"	"CDH11"	0.0218183152057141	6
"CD247"	"CD247"	0.0218527542706528	5
"SFRP2"	"SFRP2"	0.0223092174643307	4
"MEIS1"	"MEIS1"	0.0225227875665846	4
"RP11-116O18.3"	"RP11-116O18.3"	0.0225227875665846	4
"RP11-310P5.1"	"RP11-310P5.1"	0.022760759179375	3
"VIM-AS1"	"VIM-AS1"	0.0229198122363955	4
"PIGZ"	"PIGZ"	0.023066878516824	5
"CTD-2044J15.1"	"CTD-2044J15.1"	0.0232388952552459	5
"NSG1"	"NSG1"	0.0232414475439513	3
"DKFZp434J0226"	"DKFZp434J0226"	0.0234841722200751	4
"RP11-60L3.1"	"RP11-60L3.1"	0.0234841722200751	4
"AC009237.17"	"AC009237.17"	0.0237284891548247	4
"NXF3"	"NXF3"	0.0240819192108008	4
