"","x"
"789","TMEM170A"
"790","RP11-295H24.5"
"791","CTD-3128G10.6"
"792","ARV1"
"793","RP11-170M17.1"
"794","STKLD1"
"795","AC011043.1"
"796","AC015849.2"
"797","HMGXB3"
"798","FUT8-AS1"
"799","MAGIX"
"800","RP11-467H10.1"
"801","HLCS"
"802","UFL1"
"803","RP11-670E13.6"
"804","FAM124A"
"805","ZNF343"
"806","RP3-467N11.1"
"807","COL13A1"
"808","RP11-727F15.12"
"809","PPCS"
"810","CTD-2319I12.4"
"811","RP5-1120P11.3"
"812","CDC14B"
"813","RP11-234K24.3"
"814","CFAP52"
"815","DGUOK-AS1"
"816","AC073635.5"
"817","PGP"
"818","AC005682.5"
"819","CTD-2342J14.6"
"820","AC009961.3"
"821","CTD-2024F21.1"
"822","AZIN1-AS1"
"823","RP11-274H2.3"
"824","RP4-785G19.2"
"825","AC003958.2"
"826","C7orf73"
"827","RP11-102G14.1"
"828","FAM92A1"
"829","RP11-933H2.4"
"830","GPR146"
"831","C9orf50"
"832","MIR1302-3"
"833","MIR570"
"834","RP11-1055B8.1"
"835","CREBBP"
"836","SNHG22"
"837","RP4-724E16.2"
"838","KAZALD1"
"839","MADCAM1"
"840","RP11-619I22.1"
"841","RPL12P42"
"842","ADAT1"
"843","SS18"
"844","RP11-394I13.2"
"845","RP11-464F9.22"
"846","RP11-923I11.5"
"847","RP11-77P6.2"
"848","RNF123"
"849","ZNF861P"
"850","DAPK3"
"851","AP000432.1"
"852","RP11-690D19.3"
"853","XXyac-YX65C7_A.2"
"854","ACBD6"
"855","ADAM12"
"856","UGDH-AS1"
"857","RP11-93B14.10"
"858","SPIN2B"
"859","TMEM17"
"860","TSEN34"
"861","TTC12"
"862","SLC22A4"
"863","REM2"
"864","CCDC38"
"865","CITF22-92A6.1"
"866","FARSA-AS1"
"867","RP11-245D16.4"
"868","BARD1"
"869","RP11-118K6.3"
"870","TRAPPC8"
"871","LINC00471"
"872","RP11-219B4.7"
"873","RTN4IP1"
"874","RP11-134G8.5"
"875","ZNF784"
"876","LL0XNC01-116E7.1"
"877","MIR222"
"878","ATP7A"
"879","TTC26"
"880","CNFN"
"881","MIR6747"
"882","AP001505.10"
"883","CTD-2371O3.3"
"884","RP13-977J11.2"
"885","S100A5"
"886","PMS2P7"
"887","RP11-159D12.6"
"888","RP11-1109F11.3"
"889","GS1-124K5.10"
"890","RP11-108L7.15"
"891","WFIKKN1"
"892","RP11-285J16.1"
"893","EIF2S2P3"
"894","TCEB3-AS1"
"895","C22orf46"
"896","CACNA1C"
"897","AC004987.9"
"898","RP5-1074L1.4"
"899","RP11-346C20.3"
"900","ZNF324"
"901","RP11-355B11.2"
"902","TAS2R18"
"903","TNNC2"
"904","SNHG21"
"905","CHMP4BP1"
"906","RP11-573M3.3"
"907","LA16c-325D7.2"
"908","ZNF747"
"909","CELSR3-AS1"
"910","TSPAN31"
"911","RP11-223I10.1"
"912","CTD-3214K23.1"
"913","RP11-138J23.1"
"914","AP000704.5"
"915","SPDYE21P"
"916","RP11-267M23.4"
"917","METTL23"
"918","CCDC174"
"919","MCM3AP-AS1"
"920","RP11-241I20.1"
"921","SUMO4"
"922","CCNB3"
"923","CD8A"
"924","C17orf53"
"925","RP11-141C7.5"
"926","MIR762HG"
"927","RP11-196G11.5"
"928","ARL17A"
"929","RP11-396C23.4"
"930","COPRS"
"931","RPS12P31"
"932","CITF22-92A6.2"
"933","CTC-428H11.2"
"934","ITPR1-AS1"
"935","FAHD1"
"936","TMEM60"
"937","LGALS7B"
"938","RP11-108K3.1"
"939","CTD-2587H24.10"
"940","KCNQ1OT1"
"941","RCBTB1"
"942","RP11-89K21.1"
"943","ATXN2"
"944","RP11-600F24.7"
"945","RP11-384K6.8"
"946","IQUB"
"947","ITGB2-AS1"
"948","CD101"
"949","PITHD1"
"950","RP13-516M14.2"
"951","RP11-567M16.6"
"952","USF3"
"953","ABCB1"
"954","ALOX12P2"
"955","PLEKHA6"
"956","APOM"
"957","SSU72"
"958","ATP5A1P7"
"959","RP11-159D12.11"
"960","TUBD1"
"961","C5"
"962","MIR4292"
"963","RP11-357H14.16"
"964","MCEE"
"965","MIATNB"
"966","AC006486.10"
"967","RP1-191J18.66"
"968","RP11-677M14.2"
"969","SMIM10L1"
"970","FIGF"
"971","ZNF263"
"972","MOGS"
"973","RP11-401F2.3"
"974","CTB-31O20.2"
"975","RP11-803P9.1"
"976","C1GALT1C1L"
"977","NFKBIZ"
"978","UXT-AS1"
"979","RP11-715J22.6"
"980","RP11-500G10.5"
"981","LOH12CR2"
"982","HOXC-AS1"
"983","RP3-453C12.14"
"984","AC009303.2"
"985","GAPDHS"
"986","ANXA9"
"987","PACERR"
"988","RPL7P50"
"989","RP11-373N22.3"
"990","RP11-458J1.1"
"991","RP11-365P13.5"
"992","AC073130.3"
"993","RP11-1000B6.5"
"994","OGG1"
"995","RP11-479O9.3"
"996","CTD-2246P4.1"
"997","ILF3-AS1"
"998","IKBIP"
"999","LINC01311"
"1000","DND1P1"
"1001","RP11-277B15.3"
"1002","DANT2"
"1003","RP11-434H6.7"
"1004","RP11-386G11.5"
