"Name"	"Score"	"freq_dw"
"RP11-415J8.3"	"RP11-415J8.3"	0.358307979632702	1
"GPR19"	"GPR19"	0.358307979632702	2
"CYP51A1"	"CYP51A1"	0.358596996611575	3
"DLC1"	"DLC1"	0.3605981834758	1
"SYDE1"	"SYDE1"	0.364479030177428	4
"RP6-109B7.4"	"RP6-109B7.4"	0.364479030177428	1
"CTC-756D1.2"	"CTC-756D1.2"	0.366627182532188	1
"RP11-382A18.3"	"RP11-382A18.3"	0.368645292148041	1
"HDAC11"	"HDAC11"	0.370642234505218	3
"RP4-597N16.4"	"RP4-597N16.4"	0.370642234505218	3
"RP11-231I16.1"	"RP11-231I16.1"	0.370642234505218	3
"SGPP2"	"SGPP2"	0.374724798882289	1
"FDXACB1"	"FDXACB1"	0.376797599269636	1
"PPARG"	"PPARG"	0.376797599269636	2
"RP11-417O11.5"	"RP11-417O11.5"	0.37879867663133	3
"CEACAM1"	"CEACAM1"	0.382945131121425	3
"EREG"	"EREG"	0.382945131121425	1
"AIMP1P2"	"AIMP1P2"	0.38494058689982	3
"EEF1A1P25"	"EEF1A1P25"	0.38905579694649	3
"CTD-2651B20.3"	"CTD-2651B20.3"	0.389084836708506	1
"RAET1E"	"RAET1E"	0.389084836708506	3
"IFITM4P"	"IFITM4P"	0.391119550607774	1
"CELA2B"	"CELA2B"	0.395216722675976	1
"RP11-989F5.1"	"RP11-989F5.1"	0.395216722675976	1
"RPSAP15"	"RPSAP15"	0.395216722675976	1
"RP11-108F13.2"	"RP11-108F13.2"	0.399415305270377	1
"RRAS"	"RRAS"	0.40134079566611	1
"BTF3P7"	"BTF3P7"	0.405679597795722	3
"HECW2"	"HECW2"	0.407457062318364	2
"OR51K1P"	"OR51K1P"	0.41197997751898	3
"LINC01011"	"LINC01011"	0.413565529269366	2
"CTD-2561B21.11"	"CTD-2561B21.11"	0.413565529269366	1
"BCRP2"	"BCRP2"	0.416200136669781	1
"OSBPL3"	"OSBPL3"	0.419666203152927	3
